DIRECTORIO;SECUENCIA_P;ORDEN;ESTRATEGIAS;EST_RADIO;EST_TELEVISION;EST_PLATAFORMAS;EST_GUIAS;EST_VISITA;EST_LLAMADA;ESCUCHA_RADIO;P1077S7;P1077S8;P1075;P1077S21;P1077S22;P1077S23;CELULAR_INTELIGENTE;P5305;CELULAR
7247656;1;3;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2
7247668;1;4;1;2;2;1;1;2;2;1;1;2;1;2;2;1;1;2;1
7247673;1;3;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247673;1;4;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7247678;1;3;1;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;1
7247681;1;3;2; ; ; ; ; ; ;2;1;2;1;2;1;2;1;2;1
7247685;1;2;1;2;2;1;1;2;2;2;2;1;2;2;1;2;1;2;1
7247685;1;3;1;1;1;1;1;2;2;2;2;1;2;2;1;2;1;2;1
7247688;1;2;1;2;2;2;1;2;2;2;2;1;1;2;2;2;1;2;1
7247688;1;3;1;2;2;2;1;2;2;2;2;1;1;2;2;2;1;2;1
7247691;1;4;1;2;1;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7247691;1;5;2; ; ; ; ; ; ;2;2;1;2;2;2;2;1;2;1
7247692;1;3;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247692;1;4;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247692;1;5;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247694;1;2;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7247695;1;3;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247697;1;2;2; ; ; ; ; ; ;2;1;1;1;2;2;2;1;2;1
7247698;1;3;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7247699;1;3;2; ; ; ; ; ; ;2;2;2;2;2;2;2;1;2;1
7247700;1;3;1;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1
7247707;1;3;2; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2;1
7247707;1;4;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1
7247710;1;6;1;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;1
7247712;1;3;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7247712;1;4;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7247713;1;3;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7247714;1;3;1;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1
7247714;1;4;1;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1
7247714;1;5;2; ; ; ; ; ; ;2;1;2;2;2;2;2;2;2;1
7247718;1;3;1;2;2;1;1;2;2;1;1;2;2;2;2;2;2;2;1
7247718;1;4;1;2;2;1;1;2;2;1;1;2;2;2;2;2;2;2;1
7247718;1;5;1;2;2;1;1;2;2;1;1;2;2;2;2;2;2;2;1
7247720;1;4;1;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;1
7247720;1;5;1;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;1
7247722;1;5;1;2;2;1;1;2;2;1;1;2;2;2;2;2;1;2;1
7247726;1;4;1;2;2;1;1;2;2;2;1;1;2;2;2;2;1;2;1
7247727;1;3;2; ; ; ; ; ; ;2;2;1;1;2;2;1;1;2;1
7247729;1;2;1;2;2;1;1;2;2;2;1;2;2;2;2;2;2;1;1
7247729;1;3;1;2;2;2;1;2;2;2;1;2;2;2;2;2;2;1;1
7247730;2;2;1;2;2;2;1;2;2;2;1;1;2;1;2;2;2;2;1
7247731;1;4;2; ; ; ; ; ; ;2;1;2;1;2;2;2;1;2;1
7247732;1;4;2; ; ; ; ; ; ;2;1;2;1;2;2;2;1;2;1
7247732;1;6;1;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;1
7247735;1;2;1;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2
7247735;1;3;1;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2
7247739;1;3;2; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2;2
7247740;1;4;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247742;1;3;1;2;2;1;1;2;2;1;2;2;2;2;2;2;1;2;1
7247742;1;4;1;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1
7247745;1;2;1;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;1
7247745;1;3;1;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1
7247745;1;4;1;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1
7247746;1;3;2; ; ; ; ; ; ;2;1;2;2;2;2;2;2;2;1
7247748;1;5;1;2;1;2;1;2;2;2;2;1;1;2;1;1;1;2;1
7247751;1;3;2; ; ; ; ; ; ;2;2;1;1;2;1;2;1;2;1
7247753;1;4;2; ; ; ; ; ; ;2;2;1;1;1;1;2;1;2;1
7247754;1;3;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7247754;1;4;1;2;1;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7247755;1;4;1;2;1;2;1;2;2;2;2;1;1;2;2;2;1;2;1
7247756;1;4;1;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1
7247758;1;2;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1
7247770;1;5;1;2;2;1;1;2;2;2;2;1;1;1;2;2;1;2;1
7247773;1;3;2; ; ; ; ; ; ;1;1;2;2;2;2;2;1;2;1
7247773;1;4;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7247775;1;5;1;2;2;2;2;2;1;2;1;2;1;1;2;2;1;2;1
7247775;1;6;1;2;2;1;1;2;2;2;1;2;1;1;2;2;1;2;1
7247778;1;4;1;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;1
7247778;1;6;1;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;1
7247781;1;2;2; ; ; ; ; ; ;2;1;2;2;2;2;2;2;2;1
